+======================================+======================================+==============================================================================================+
| Launch Setup Clock                   | Launch Hold Clock                    | Pin                                                                                          |
| clk162_5_tangerineA7_100_clk_wiz_2_0 | clk162_5_tangerineA7_100_clk_wiz_2_0 | tangerineA7_100_i/tangerineSOC_0/inst/vgaInst/pixelGenInst/pgLutBackgroundColor_reg[5]/D     |
| clk162_5_tangerineA7_100_clk_wiz_2_0 | clk162_5_tangerineA7_100_clk_wiz_2_0 | tangerineA7_100_i/tangerineSOC_0/inst/vgaInst/pixelGenInst/pgLutBackgroundColor_reg[0]/D     |
| clk162_5_tangerineA7_100_clk_wiz_2_0 | clk162_5_tangerineA7_100_clk_wiz_2_0 | tangerineA7_100_i/tangerineSOC_0/inst/vgaInst/pixelGenInst/pgLutLetterColor_reg[21]/D        |
| clk162_5_tangerineA7_100_clk_wiz_2_0 | clk162_5_tangerineA7_100_clk_wiz_2_0 | tangerineA7_100_i/tangerineSOC_0/inst/vgaInst/pixelGenInst/pgLutLetterColor_reg[8]/D         |
| clk162_5_tangerineA7_100_clk_wiz_2_0 | clk162_5_tangerineA7_100_clk_wiz_2_0 | tangerineA7_100_i/tangerineSOC_0/inst/vgaInst/pixelGenInst/pgDisplayPtr_reg[8]/D             |
| clk162_5_tangerineA7_100_clk_wiz_2_0 | clk162_5_tangerineA7_100_clk_wiz_2_0 | tangerineA7_100_i/tangerineSOC_0/inst/vgaInst/pixelGenInst/pgLutLetterColor_reg[5]/D         |
| clk162_5_tangerineA7_100_clk_wiz_2_0 | clk162_5_tangerineA7_100_clk_wiz_2_0 | tangerineA7_100_i/tangerineSOC_0/inst/vgaInst/pixelGenInst/FSM_sequential_pgState_reg[4]/D   |
| clk162_5_tangerineA7_100_clk_wiz_2_0 | clk162_5_tangerineA7_100_clk_wiz_2_0 | tangerineA7_100_i/tangerineSOC_0/inst/vgaInst/pixelGenInst/pgLutBackgroundColor_reg[23]/D    |
| clk162_5_tangerineA7_100_clk_wiz_2_0 | clk162_5_tangerineA7_100_clk_wiz_2_0 | tangerineA7_100_i/tangerineSOC_0/inst/vgaInst/pixelGenInst/pgLutLetterColor_reg[13]/D        |
| clk162_5_tangerineA7_100_clk_wiz_2_0 | clk162_5_tangerineA7_100_clk_wiz_2_0 | tangerineA7_100_i/tangerineSOC_0/inst/vgaInst/pixelGenInst/pgLutBackgroundColor_reg[7]/D     |
| clk162_5_tangerineA7_100_clk_wiz_2_0 | clk162_5_tangerineA7_100_clk_wiz_2_0 | tangerineA7_100_i/tangerineSOC_0/inst/vgaInst/pixelGenInst/pgLutBackgroundColor_reg[15]/D    |
| clk162_5_tangerineA7_100_clk_wiz_2_0 | clk162_5_tangerineA7_100_clk_wiz_2_0 | tangerineA7_100_i/tangerineSOC_0/inst/vgaInst/pixelGenInst/pgLutBackgroundColor_reg[6]/D     |
| clk162_5_tangerineA7_100_clk_wiz_2_0 | clk162_5_tangerineA7_100_clk_wiz_2_0 | tangerineA7_100_i/tangerineSOC_0/inst/vgaInst/pixelGenInst/pgLutBackgroundColor_reg[14]/D    |
| clk162_5_tangerineA7_100_clk_wiz_2_0 | clk162_5_tangerineA7_100_clk_wiz_2_0 | tangerineA7_100_i/tangerineSOC_0/inst/vgaInst/pixelGenInst/pgLutBackgroundColor_reg[22]/D    |
| clk162_5_tangerineA7_100_clk_wiz_2_0 | clk162_5_tangerineA7_100_clk_wiz_2_0 | tangerineA7_100_i/tangerineSOC_0/inst/vgaInst/pixelGenGfxInst/FSM_onehot_pggState_reg[15]/D  |
| clk162_5_tangerineA7_100_clk_wiz_2_0 | clk162_5_tangerineA7_100_clk_wiz_2_0 | tangerineA7_100_i/tangerineSOC_0/inst/vgaInst/pixelGenInst/pgDisplayPtr_reg[9]/D             |
| clk162_5_tangerineA7_100_clk_wiz_2_0 | clk162_5_tangerineA7_100_clk_wiz_2_0 | tangerineA7_100_i/tangerineSOC_0/inst/vgaInst/pixelGenInst/pgLetterY_reg[0]/D                |
| clk162_5_tangerineA7_100_clk_wiz_2_0 | clk162_5_tangerineA7_100_clk_wiz_2_0 | tangerineA7_100_i/tangerineSOC_0/inst/vgaInst/pixelGenGfxInst/FSM_onehot_pggState_reg[15]/CE |
| clk162_5_tangerineA7_100_clk_wiz_2_0 | clk162_5_tangerineA7_100_clk_wiz_2_0 | tangerineA7_100_i/tangerineSOC_0/inst/vgaInst/pixelGenGfxInst/FSM_onehot_pggState_reg[4]/CE  |
| clk162_5_tangerineA7_100_clk_wiz_2_0 | clk162_5_tangerineA7_100_clk_wiz_2_0 | tangerineA7_100_i/tangerineSOC_0/inst/vgaInst/pixelGenGfxInst/FSM_onehot_pggState_reg[28]/CE |
| clk162_5_tangerineA7_100_clk_wiz_2_0 | clk162_5_tangerineA7_100_clk_wiz_2_0 | tangerineA7_100_i/tangerineSOC_0/inst/vgaInst/pixelGenGfxInst/FSM_onehot_pggState_reg[29]/CE |
| clk162_5_tangerineA7_100_clk_wiz_2_0 | clk162_5_tangerineA7_100_clk_wiz_2_0 | tangerineA7_100_i/tangerineSOC_0/inst/vgaInst/pixelGenGfxInst/FSM_onehot_pggState_reg[17]/CE |
| clk162_5_tangerineA7_100_clk_wiz_2_0 | clk162_5_tangerineA7_100_clk_wiz_2_0 | tangerineA7_100_i/tangerineSOC_0/inst/vgaInst/pixelGenGfxInst/FSM_onehot_pggState_reg[31]/CE |
| clk162_5_tangerineA7_100_clk_wiz_2_0 | clk162_5_tangerineA7_100_clk_wiz_2_0 | tangerineA7_100_i/tangerineSOC_0/inst/vgaInst/pixelGenGfxInst/FSM_onehot_pggState_reg[35]/CE |
| clk162_5_tangerineA7_100_clk_wiz_2_0 | clk162_5_tangerineA7_100_clk_wiz_2_0 | tangerineA7_100_i/tangerineSOC_0/inst/vgaInst/pixelGenGfxInst/FSM_onehot_pggState_reg[10]/CE |
| clk162_5_tangerineA7_100_clk_wiz_2_0 | clk162_5_tangerineA7_100_clk_wiz_2_0 | tangerineA7_100_i/tangerineSOC_0/inst/vgaInst/pixelGenGfxInst/FSM_onehot_pggState_reg[25]/CE |
